"s.index","lat","lon","Time","NOx","max_wind10","avg_wind10","max_wind100","avg_wind100","max_humidity","avg_humidity","max_precipitation","avg_precipitation","max_temperature","avg_temperature","min_temperature","k_precipitation","k_wind10"
0,46.1678524406651,9.8792099244699,"01 16",90.2911290322581,9.5,4.62204301075269,14.5,5.79825268817204,99,70.8588709677419,2.3,0.0744623655913978,15.3,2.04717741935484,-16.9,6,0
0,46.1678524406651,9.8792099244699,"02 16",62.278818443804,11.5,4.54985632183908,19.5,6.75833333333333,100,77.3433908045977,3.1,0.185344827586207,18.2,5.29727011494253,-10.4,10,0
0,46.1678524406651,9.8792099244699,"03 16",34.8318548387097,9.4,4.19287634408602,16.9,6.27137096774194,99,70.5806451612903,4.4,0.115188172043011,15.8,6.2380376344086,-8.1,5,0
0,46.1678524406651,9.8792099244699,"04 16",23.1480575539568,10.1,4.11694444444444,15.1,6.31361111111111,100,80.7111111111111,3.7,0.194722222222222,20.4,11.7366666666667,4.3,14,0
0,46.1678524406651,9.8792099244699,"05 16",16.0245255474453,9.3,4.18709677419355,13.7,6.3369623655914,100,76.9583333333333,2.8,0.199193548387097,24.8,15.2137096774194,7.4,11,0
0,46.1678524406651,9.8792099244699,"06 16",12.0824512534819,9.3,3.63083333333333,13,5.33763888888889,100,83.7291666666667,4.1,0.259444444444444,31.3,19.3779166666667,10,20,0
0,46.1678524406651,9.8792099244699,"07 16",11.5414598540146,9.1,3.92836021505376,14.4,5.81344086021505,100,79.1236559139785,6.8,0.204838709677419,31,22.610752688172,10.7,12,0
0,46.1678524406651,9.8792099244699,"08 16",12.3993270524899,8.7,3.58306451612903,15.1,5.12016129032258,100,79.2352150537634,5.7,0.17258064516129,30.9,22.1454301075269,13.1,8,0
0,46.1678524406651,9.8792099244699,"09 16",19.1536862003781,9,3.51472222222222,13.3,4.94486111111111,100,81.9833333333333,2.2,0.075,27.4,19.4219444444444,9.5,6,0
0,46.1678524406651,9.8792099244699,"10 16",37.32,8,3.72782258064516,14.2,5.5510752688172,100,81.3427419354839,4.5,0.133333333333333,22.6,12.7006720430108,2.5,10,0
0,46.1678524406651,9.8792099244699,"11 16",70.6248062015504,9.4,4.08263888888889,14.8,6.03430555555556,100,81.2875,2.8,0.171527777777778,19.3,8.28847222222222,-1.6,8,0
0,46.1678524406651,9.8792099244699,"12 16",132.07552238806,10.1,5.10456989247312,15.2,6.67647849462366,94,58.7459677419355,0.2,0.0010752688172043,16.8,7.16021505376344,-2.2,0,0
0,46.1678524406651,9.8792099244699,"01 17",89.6815714285714,9.8,3.10739247311828,15.7,4.73319892473118,99,57.2809139784946,1.4,0.0254032258064516,12.2,3.26989247311828,-5.1,2,0
0,46.1678524406651,9.8792099244699,"02 17",79.0858420268256,6.3,2.74077380952381,9.7,3.93035714285714,100,73.5639880952381,3.2,0.185416666666667,17.4,7.68005952380952,0.3,9,0
0,46.1678524406651,9.8792099244699,"03 17",35.8700272479564,7.6,3.20483870967742,11.9,4.5877688172043,100,69.0766129032258,4,0.0952956989247312,22.6,11.4681451612903,2.1,7,0
0,46.1678524406651,9.8792099244699,"04 17",22.4728096676737,10.6,3.55444444444444,16.7,5.21263888888889,100,61.6291666666667,4.3,0.169444444444444,23.4,13.0298611111111,1.7,7,0
0,46.1678524406651,9.8792099244699,"05 17",17.064468371467,7.9,2.95188172043011,12.5,4.31720430107527,100,73.739247311828,3.8,0.20752688172043,29.5,17.3090053763441,4.2,11,0
0,46.1678524406651,9.8792099244699,"06 17",15.4374130737135,9,3.27041666666667,13.7,4.83944444444444,100,70.1055555555556,4.8,0.21,33.4,23.1516666666667,9.7,10,0
0,46.1678524406651,9.8792099244699,"07 17",15.9973913043478,9.9,3.22002688172043,15.2,4.76841397849462,100,69.0094086021505,6,0.156317204301075,33.1,23.3629032258065,13.5,12,0
0,46.1678524406651,9.8792099244699,"08 17",15.1350806451613,8.5,3.15094086021505,12.7,4.6116935483871,100,72.989247311828,8.1,0.183467741935484,34.6,23.9111559139785,13.3,11,0
