;Id_sensor;Time;NOx;max_wind10;avg_wind10;max_wind100;avg_wind100;max_humidity;avg_humidity;max_precipitation;avg_precipitation;max_temperature;avg_temperature;min_temperature;k_precipitation;k_wind10;type;area
6856;20493;maggio 21;43.9183553597651;24.3;8.43104838709677;41.3;14.2995967741935;100;69.4032258064516;6.9;0.1875;23;15.5978494623656;8.3;9;23;???;???
6656;20493;giugno 21;47.0454031117397;20.8;7.335;34.2;11.6801388888889;95;57.9319444444444;2.6;0.0218055555555556;32.6;23.7925;14.8;1;19;???;???
6756;20493;luglio 21;45.4719178082192;21.4;7.60403225806452;33.7;12.4084677419355;98;67.5551075268817;10.9;0.21747311827957;32.1;23.7807795698925;15.7;10;20;???;???
6191;20493;agosto 21;40.3389684813754;22;6.84502688172043;31.6;11.0176075268817;98;64.0430107526882;7.6;0.11989247311828;34.1;23.1747311827957;13.8;7;13;???;???
7258;20493;settembre 21;53.7921875;22.3;6.36166666666667;32.4;10.3031944444444;98;65.5708333333333;7.5;0.0968055555555556;29.4;20.7226388888889;12.3;5;8;???;???
7191;20493;ottobre 21;67.0929824561403;30.5;6.07217741935484;50.2;9.59018817204301;96;75.3467741935484;4.7;0.0686827956989247;22.2;13.2557795698925;4.5;3;6;???;???
7056;20493;novembre 21;94.383308931186;22.7;6.57472222222222;37.6;11.0093055555556;100;84.6166666666667;8.1;0.235;15.5;8.24458333333333;-2.6;11;10;???;???
6356;20493;dicembre 21;162.193767313019;22.9;6.17069892473118;41.9;10.2323924731183;100;85.9395161290323;2.6;0.044758064516129;10.7;3.20846774193548;-2.3;3;7;???;???
7756;20493;gennaio 22;127.76129476584;16.9;6.32782258064516;32.4;10.4018817204301;100;80.2647849462366;1.6;0.026747311827957;12.9;2.96115591397849;-3.4;1;10;???;???
7656;20493;febbraio 22;94.9510447761194;27.4;7.4375;47.4;12.7861607142857;100;71.1547619047619;3.9;0.0535714285714286;17.4;6.38229166666667;-1.3;1;12;???;???
8191;20493;marzo 22;64.0039051603905;23.4;7.05215053763441;36.7;11.5896505376344;94;58.2647849462366;1.3;0.0112903225806452;20.9;8.18897849462366;-2;1;13;???;???
